dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
uniform,bucket_radix,gpu,uint64,100000000,256,1236.203044,0.000000,12.362030,80.892860,800000000.000000,0.800000,0.647143,1,1,0.000000,64,3,1236.172038,0.146341,1236.203044,0.144133,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
gaussian,radix,gpu,uint64,10000,256,1.001986,0.000000,100.198633,9.980176,80000.000000,0.000080,0.079841,1,1,0.000000,40,3,0.959200,0.110438,1.001986,0.112735,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,10000,256,0.280078,0.000000,28.007767,35.704382,80000.000000,0.000080,0.285635,1,1,0.000000,40,3,0.262475,0.005378,0.280078,0.007912,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,10000,256,1.189766,0.000000,118.976600,8.405014,80000.000000,0.000080,0.067240,1,1,0.000000,40,3,1.180960,0.252298,1.189766,0.254519,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,100000,256,2.206836,0.000000,22.068363,45.313736,800000.000000,0.000800,0.362510,1,1,0.000000,64,3,2.164075,0.120068,2.206836,0.121849,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,100000,256,0.688578,0.000000,6.885780,145.226830,800000.000000,0.000800,1.161815,1,1,0.000000,64,3,0.626304,0.005311,0.688578,0.017713,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,100000,256,2.430068,0.000000,24.300683,41.151106,800000.000000,0.000800,0.329209,1,1,0.000000,64,3,2.405813,0.245312,2.430068,0.244955,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,1000000,256,12.527097,0.000000,12.527097,79.826954,8000000.000000,0.008000,0.638616,1,1,0.000000,64,3,12.477568,0.129365,12.527097,0.129521,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,1000000,256,6.421196,0.000000,6.421196,155.734220,8000000.000000,0.008000,1.245874,1,1,0.000000,64,3,6.296533,0.007676,6.421196,0.006013,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,1000000,256,13.703891,0.000000,13.703891,72.971974,8000000.000000,0.008000,0.583776,1,1,0.000000,64,3,13.684064,0.258696,13.703891,0.257293,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n1000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,10000000,256,114.823939,0.000000,11.482394,87.089854,80000000.000000,0.080000,0.696719,1,1,0.000000,64,3,114.774592,0.119019,114.823939,0.120007,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,10000000,256,118.031527,0.000000,11.803153,84.723127,80000000.000000,0.080000,0.677785,1,1,0.000000,64,3,117.127744,0.002460,118.031527,0.208181,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
