dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error
all_equal,radix,omp,uint64,10000,8,1.10181,1.10181e-07,110.181,9.07593,80000,8e-05,0.0726075,true,true,"none"
all_equal,counting,seq,uint64,10000,8,0.369238,3.69238e-08,36.9238,27.0828,80000,8e-05,0.216662,true,true,"none"
all_equal,counting,omp,uint64,10000,8,0.827331,8.27331e-08,82.7331,12.0871,80000,8e-05,0.0966965,true,true,"none"
all_equal,bucket,seq,uint64,10000,8,0.243879,2.43879e-08,24.3879,41.0039,80000,8e-05,0.328032,true,true,"none"
all_equal,bucket,omp,uint64,10000,8,0.348489,3.48489e-08,34.8489,28.6953,80000,8e-05,0.229562,true,true,"none"
all_equal,pigeonhole,seq,uint64,10000,8,1.35023,1.35023e-07,135.023,7.40612,80000,8e-05,0.059249,true,true,"none"
all_equal,pigeonhole,omp,uint64,10000,8,0.835669,8.35669e-08,83.5669,11.9665,80000,8e-05,0.0957317,true,true,"none"
all_equal,bitonic,seq,uint64,10000,8,6.55661,6.55661e-07,655.661,1.52518,80000,8e-05,0.0122014,true,true,"none"
all_equal,bitonic,omp,uint64,10000,8,3.3561,3.3561e-07,335.611,2.97964,80000,8e-05,0.0238372,true,true,"none"
all_equal,radix,seq,uint64,1000,8,0.305547,3.05547e-07,305.547,3.27282,8000,8e-06,0.0261826,true,true,"none"
all_equal,radix,omp,uint64,1000,8,0.919945,9.19945e-07,919.945,1.08702,8000,8e-06,0.00869617,true,true,"none"
all_equal,counting,seq,uint64,1000,8,0.082306,8.2306e-08,82.306,12.1498,8000,8e-06,0.0971983,true,true,"none"
all_equal,counting,omp,uint64,1000,8,0.112862,1.12862e-07,112.862,8.86038,8000,8e-06,0.070883,true,true,"none"
all_equal,bucket,seq,uint64,1000,8,0.034499,3.4499e-08,34.499,28.9863,8000,8e-06,0.231891,true,true,"none"
all_equal,bucket,omp,uint64,1000,8,0.060384,6.0384e-08,60.384,16.5607,8000,8e-06,0.132485,true,true,"none"
all_equal,pigeonhole,seq,uint64,1000,8,0.217509,2.17509e-07,217.509,4.59751,8000,8e-06,0.0367801,true,true,"none"
all_equal,pigeonhole,omp,uint64,1000,8,0.164963,1.64963e-07,164.963,6.06197,8000,8e-06,0.0484957,true,true,"none"
all_equal,bitonic,seq,uint64,1000,8,0.884723,8.84723e-07,884.723,1.1303,8000,8e-06,0.00904238,true,true,"none"
all_equal,bitonic,omp,uint64,1000,8,0.488722,4.88722e-07,488.722,2.04615,8000,8e-06,0.0163692,true,true,"none"
all_equal,radix,seq,uint64,100,8,0.062358,6.2358e-07,623.58,1.60364,800,8e-07,0.0128291,true,true,"none"
all_equal,radix,omp,uint64,100,8,0.656689,6.56689e-06,6566.89,0.152279,800,8e-07,0.00121823,true,true,"none"
all_equal,counting,seq,uint64,100,8,0.013462,1.3462e-07,134.62,7.42832,800,8e-07,0.0594265,true,true,"none"
all_equal,counting,omp,uint64,100,8,0.02806,2.806e-07,280.6,3.56379,800,8e-07,0.0285103,true,true,"none"
all_equal,bucket,seq,uint64,100,8,0.006479,6.479e-08,64.79,15.4345,800,8e-07,0.123476,true,true,"none"
all_equal,bucket,omp,uint64,100,8,0.006323,6.323e-08,63.23,15.8153,800,8e-07,0.126522,true,true,"none"
all_equal,pigeonhole,seq,uint64,100,8,0.030115,3.0115e-07,301.15,3.3206,800,8e-07,0.0265648,true,true,"none"
all_equal,pigeonhole,omp,uint64,100,8,0.034963,3.4963e-07,349.63,2.86017,800,8e-07,0.0228813,true,true,"none"
all_equal,bitonic,seq,uint64,100,8,0.053414,5.3414e-07,534.14,1.87217,800,8e-07,0.0149773,true,true,"none"
all_equal,bitonic,omp,uint64,100,8,0.164967,1.64967e-06,1649.67,0.606182,800,8e-07,0.00484945,true,true,"none"
exponential,radix,seq,uint64,100000000,8,11942.7,1.19427e-07,119.427,8.37331,8e+08,0.8,0.0669865,true,true,"none"
exponential,radix,omp,uint64,100000000,8,2219.76,2.21976e-08,22.1976,45.0499,8e+08,0.8,0.360399,true,true,"none"
exponential,counting,seq,uint64,100000000,8,0,0,0,0,8e+08,0.8,0,false,false,"Counting sort range too large: 4294967294"
exponential,counting,omp,uint64,100000000,8,0,0,0,0,8e+08,0.8,0,false,false,"Counting sort (OMP) range too large: 4294967294"
exponential,bucket,seq,uint64,100000000,8,27993.5,2.79935e-07,279.935,3.57226,8e+08,0.8,0.0285781,true,true,"none"
exponential,bucket,omp,uint64,100000000,8,12886.7,1.28867e-07,128.867,7.75992,8e+08,0.8,0.0620793,true,true,"none"
exponential,pigeonhole,seq,uint64,100000000,8,0,0,0,0,8e+08,0.8,0,false,false,"Pigeonhole sort range too large: 4294967294"
exponential,pigeonhole,omp,uint64,100000000,8,0,0,0,0,8e+08,0.8,0,false,false,"Pigeonhole sort (OMP) range too large: 4294967294"
exponential,bitonic,seq,uint64,100000000,8,284198,2.84198e-06,2841.98,0.351868,8e+08,0.8,0.00281494,true,true,"none"
exponential,bitonic,omp,uint64,100000000,8,51323.4,5.13234e-07,513.234,1.94843,8e+08,0.8,0.0155874,true,true,"none"
exponential,radix,seq,uint64,10000000,8,1177.42,1.17742e-07,117.742,8.49312,8e+07,0.08,0.067945,true,true,"none"
exponential,radix,omp,uint64,10000000,8,219.071,2.19071e-08,21.9071,45.6473,8e+07,0.08,0.365178,true,true,"none"
exponential,counting,seq,uint64,10000000,8,0,0,0,0,8e+07,0.08,0,false,false,"Counting sort range too large: 4294967090"
exponential,counting,omp,uint64,10000000,8,0,0,0,0,8e+07,0.08,0,false,false,"Counting sort (OMP) range too large: 4294967090"
exponential,bucket,seq,uint64,10000000,8,2369.8,2.3698e-07,236.98,4.21977,8e+07,0.08,0.0337582,true,true,"none"
exponential,bucket,omp,uint64,10000000,8,1276.31,1.27631e-07,127.631,7.83509,8e+07,0.08,0.0626807,true,true,"none"
exponential,pigeonhole,seq,uint64,10000000,8,0,0,0,0,8e+07,0.08,0,false,false,"Pigeonhole sort range too large: 4294967090"
exponential,pigeonhole,omp,uint64,10000000,8,0,0,0,0,8e+07,0.08,0,false,false,"Pigeonhole sort (OMP) range too large: 4294967090"
exponential,bitonic,seq,uint64,10000000,8,26521.5,2.65215e-06,2652.15,0.377053,8e+07,0.08,0.00301643,true,true,"none"
exponential,bitonic,omp,uint64,10000000,8,5204.64,5.20464e-07,520.464,1.92136,8e+07,0.08,0.0153709,true,true,"none"
exponential,radix,seq,uint64,1000000,8,88.1621,8.81621e-08,88.1621,11.3427,8e+06,0.008,0.0907419,true,true,"none"
exponential,radix,omp,uint64,1000000,8,17.3217,1.73217e-08,17.3217,57.731,8e+06,0.008,0.461848,true,true,"none"
exponential,counting,seq,uint64,1000000,8,0,0,0,0,8e+06,0.008,0,false,false,"Counting sort range too large: 4294966978"
exponential,counting,omp,uint64,1000000,8,0,0,0,0,8e+06,0.008,0,false,false,"Counting sort (OMP) range too large: 4294966978"
exponential,bucket,seq,uint64,1000000,8,227.584,2.27584e-07,227.584,4.39399,8e+06,0.008,0.0351519,true,true,"none"
exponential,bucket,omp,uint64,1000000,8,161.401,1.61401e-07,161.401,6.19574,8e+06,0.008,0.0495659,true,true,"none"
exponential,pigeonhole,seq,uint64,1000000,8,0,0,0,0,8e+06,0.008,0,false,false,"Pigeonhole sort range too large: 4294966978"
exponential,pigeonhole,omp,uint64,1000000,8,0,0,0,0,8e+06,0.008,0,false,false,"Pigeonhole sort (OMP) range too large: 4294966978"
exponential,bitonic,seq,uint64,1000000,8,1364.61,1.36461e-06,1364.61,0.73281,8e+06,0.008,0.00586248,true,true,"none"
exponential,bitonic,omp,uint64,1000000,8,234.511,2.34511e-07,234.511,4.2642,8e+06,0.008,0.0341136,true,true,"none"
exponential,radix,seq,uint64,100000,8,8.79188,8.79188e-08,87.9188,11.3741,800000,0.0008,0.0909931,true,true,"none"
exponential,radix,omp,uint64,100000,8,2.32132,2.32132e-08,23.2132,43.0789,800000,0.0008,0.344631,true,true,"none"
exponential,counting,seq,uint64,100000,8,0,0,0,0,800000,0.0008,0,false,false,"Counting sort range too large: 4294963899"
exponential,counting,omp,uint64,100000,8,0,0,0,0,800000,0.0008,0,false,false,"Counting sort (OMP) range too large: 4294963899"
exponential,bucket,seq,uint64,100000,8,37.3748,3.73748e-07,373.748,2.6756,800000,0.0008,0.0214048,true,true,"none"
exponential,bucket,omp,uint64,100000,8,38.2915,3.82915e-07,382.915,2.61154,800000,0.0008,0.0208923,true,true,"none"
exponential,pigeonhole,seq,uint64,100000,8,0,0,0,0,800000,0.0008,0,false,false,"Pigeonhole sort range too large: 4294963899"
exponential,pigeonhole,omp,uint64,100000,8,0,0,0,0,800000,0.0008,0,false,false,"Pigeonhole sort (OMP) range too large: 4294963899"
exponential,bitonic,seq,uint64,100000,8,116.344,1.16344e-06,1163.44,0.859521,800000,0.0008,0.00687617,true,true,"none"
exponential,bitonic,omp,uint64,100000,8,22.2846,2.22846e-07,222.846,4.48741,800000,0.0008,0.0358992,true,true,"none"
exponential,radix,seq,uint64,10000,8,1.40052,1.40052e-07,140.052,7.14022,80000,8e-05,0.0571217,true,true,"none"
exponential,radix,omp,uint64,10000,8,1.18075,1.18075e-07,118.075,8.46916,80000,8e-05,0.0677533,true,true,"none"
exponential,counting,seq,uint64,10000,8,0,0,0,0,80000,8e-05,0,false,false,"Counting sort range too large: 4294960158"
exponential,counting,omp,uint64,10000,8,0,0,0,0,80000,8e-05,0,false,false,"Counting sort (OMP) range too large: 4294960158"
exponential,bucket,seq,uint64,10000,8,3.57443,3.57443e-07,357.443,2.79765,80000,8e-05,0.0223812,true,true,"none"
exponential,bucket,omp,uint64,10000,8,3.84053,3.84053e-07,384.053,2.60381,80000,8e-05,0.0208305,true,true,"none"
exponential,pigeonhole,seq,uint64,10000,8,0,0,0,0,80000,8e-05,0,false,false,"Pigeonhole sort range too large: 4294960158"
exponential,pigeonhole,omp,uint64,10000,8,0,0,0,0,80000,8e-05,0,false,false,"Pigeonhole sort (OMP) range too large: 4294960158"
exponential,bitonic,seq,uint64,10000,8,9.73386,9.73385e-07,973.385,1.02734,80000,8e-05,0.00821874,true,true,"none"
exponential,bitonic,omp,uint64,10000,8,2.77186,2.77186e-07,277.186,3.60769,80000,8e-05,0.0288615,true,true,"none"
exponential,radix,seq,uint64,1000,8,0.223195,2.23195e-07,223.195,4.48039,8000,8e-06,0.0358431,true,true,"none"
exponential,radix,omp,uint64,1000,8,0.662286,6.62286e-07,662.286,1.50992,8000,8e-06,0.0120794,true,true,"none"
exponential,counting,seq,uint64,1000,8,0,0,0,0,8000,8e-06,0,false,false,"Counting sort range too large: 4292118639"
exponential,counting,omp,uint64,1000,8,0,0,0,0,8000,8e-06,0,false,false,"Counting sort (OMP) range too large: 4292118639"
exponential,bucket,seq,uint64,1000,8,1.35053,1.35053e-06,1350.53,0.740451,8000,8e-06,0.0059236,true,true,"none"
exponential,bucket,omp,uint64,1000,8,0.99294,9.9294e-07,992.94,1.00711,8000,8e-06,0.00805688,true,true,"none"
exponential,pigeonhole,seq,uint64,1000,8,0,0,0,0,8000,8e-06,0,false,false,"Pigeonhole sort range too large: 4292118639"
exponential,pigeonhole,omp,uint64,1000,8,0,0,0,0,8000,8e-06,0,false,false,"Pigeonhole sort (OMP) range too large: 4292118639"
exponential,bitonic,seq,uint64,1000,8,1.60895,1.60895e-06,1608.95,0.621525,8000,8e-06,0.0049722,true,true,"none"
exponential,bitonic,omp,uint64,1000,8,0.639035,6.39035e-07,639.035,1.56486,8000,8e-06,0.0125189,true,true,"none"
exponential,radix,seq,uint64,100,8,0.062813,6.2813e-07,628.13,1.59203,800,8e-07,0.0127362,true,true,"none"
exponential,radix,omp,uint64,100,8,0.919341,9.19341e-06,9193.41,0.108774,800,8e-07,0.000870189,true,true,"none"
exponential,counting,seq,uint64,100,8,0,0,0,0,800,8e-07,0,false,false,"Counting sort range too large: 2655890535"
exponential,counting,omp,uint64,100,8,0,0,0,0,800,8e-07,0,false,false,"Counting sort (OMP) range too large: 2655890535"
exponential,bucket,seq,uint64,100,8,0.184818,1.84818e-06,1848.18,0.541073,800,8e-07,0.00432858,true,true,"none"
exponential,bucket,omp,uint64,100,8,0.172581,1.72581e-06,1725.81,0.579438,800,8e-07,0.0046355,true,true,"none"
exponential,pigeonhole,seq,uint64,100,8,0,0,0,0,800,8e-07,0,false,false,"Pigeonhole sort range too large: 2655890535"
exponential,pigeonhole,omp,uint64,100,8,0,0,0,0,800,8e-07,0,false,false,"Pigeonhole sort (OMP) range too large: 2655890535"
exponential,bitonic,seq,uint64,100,8,0.130869,1.30869e-06,1308.69,0.764123,800,8e-07,0.00611298,true,true,"none"
exponential,bitonic,omp,uint64,100,8,0.167234,1.67234e-06,1672.34,0.597965,800,8e-07,0.00478372,true,true,"none"
gaussian,radix,seq,uint64,100000000,8,9204.74,9.20474e-08,92.0474,10.864,8e+08,0.8,0.0869118,true,true,"none"
gaussian,radix,omp,uint64,100000000,8,1702.5,1.7025e-08,17.025,58.7371,8e+08,0.8,0.469896,true,true,"none"
gaussian,counting,seq,uint64,100000000,8,2850.53,2.85053e-08,28.5053,35.0812,8e+08,0.8,0.28065,true,true,"none"
gaussian,counting,omp,uint64,100000000,8,1852.08,1.85208e-08,18.5208,53.9932,8e+08,0.8,0.431946,true,true,"none"
gaussian,bucket,seq,uint64,100000000,8,34297.9,3.42979e-07,342.979,2.91563,8e+08,0.8,0.023325,true,true,"none"
gaussian,bucket,omp,uint64,100000000,8,23321.5,2.33215e-07,233.215,4.28789,8e+08,0.8,0.0343031,true,true,"none"
gaussian,pigeonhole,seq,uint64,100000000,8,5421.22,5.42122e-08,54.2122,18.446,8e+08,0.8,0.147568,true,true,"none"
gaussian,pigeonhole,omp,uint64,100000000,8,5029.85,5.02985e-08,50.2985,19.8813,8e+08,0.8,0.159051,true,true,"none"
gaussian,bitonic,seq,uint64,100000000,8,220074,2.20074e-06,2200.74,0.454393,8e+08,0.8,0.00363514,true,true,"none"
gaussian,bitonic,omp,uint64,100000000,8,40213,4.0213e-07,402.13,2.48676,8e+08,0.8,0.0198941,true,true,"none"
gaussian,radix,seq,uint64,10000000,8,903.347,9.03347e-08,90.3347,11.0699,8e+07,0.08,0.0885596,true,true,"none"
gaussian,radix,omp,uint64,10000000,8,173.265,1.73265e-08,17.3265,57.7149,8e+07,0.08,0.461719,true,true,"none"
gaussian,counting,seq,uint64,10000000,8,284.896,2.84896e-08,28.4896,35.1005,8e+07,0.08,0.280804,true,true,"none"
gaussian,counting,omp,uint64,10000000,8,186.849,1.86849e-08,18.6849,53.5192,8e+07,0.08,0.428154,true,true,"none"
gaussian,bucket,seq,uint64,10000000,8,3011.68,3.01168e-07,301.168,3.32041,8e+07,0.08,0.0265633,true,true,"none"
gaussian,bucket,omp,uint64,10000000,8,2118.59,2.11859e-07,211.859,4.72011,8e+07,0.08,0.0377609,true,true,"none"
gaussian,pigeonhole,seq,uint64,10000000,8,537.457,5.37457e-08,53.7457,18.6062,8e+07,0.08,0.148849,true,true,"none"
gaussian,pigeonhole,omp,uint64,10000000,8,489.545,4.89545e-08,48.9545,20.4271,8e+07,0.08,0.163417,true,true,"none"
gaussian,bitonic,seq,uint64,10000000,8,21700.6,2.17006e-06,2170.06,0.460817,8e+07,0.08,0.00368653,true,true,"none"
gaussian,bitonic,omp,uint64,10000000,8,4079.99,4.07999e-07,407.999,2.45099,8e+07,0.08,0.0196079,true,true,"none"
gaussian,radix,seq,uint64,1000000,8,84.2702,8.42702e-08,84.2702,11.8666,8e+06,0.008,0.0949327,true,true,"none"
gaussian,radix,omp,uint64,1000000,8,15.4935,1.54935e-08,15.4935,64.5433,8e+06,0.008,0.516347,true,true,"none"
gaussian,counting,seq,uint64,1000000,8,28.0429,2.80429e-08,28.0429,35.6596,8e+06,0.008,0.285277,true,true,"none"
gaussian,counting,omp,uint64,1000000,8,19.3116,1.93116e-08,19.3116,51.7825,8e+06,0.008,0.41426,true,true,"none"
gaussian,bucket,seq,uint64,1000000,8,248.341,2.48341e-07,248.341,4.02672,8e+06,0.008,0.0322138,true,true,"none"
gaussian,bucket,omp,uint64,1000000,8,184.872,1.84872e-07,184.872,5.40916,8e+06,0.008,0.0432733,true,true,"none"
gaussian,pigeonhole,seq,uint64,1000000,8,49.3719,4.93719e-08,49.3719,20.2544,8e+06,0.008,0.162035,true,true,"none"
gaussian,pigeonhole,omp,uint64,1000000,8,45.0859,4.50859e-08,45.0859,22.1799,8e+06,0.008,0.177439,true,true,"none"
gaussian,bitonic,seq,uint64,1000000,8,1024.49,1.02449e-06,1024.49,0.976098,8e+06,0.008,0.00780879,true,true,"none"
gaussian,bitonic,omp,uint64,1000000,8,188.109,1.88109e-07,188.109,5.31605,8e+06,0.008,0.0425284,true,true,"none"
gaussian,radix,seq,uint64,100000,8,8.44298,8.44298e-08,84.4298,11.8442,800000,0.0008,0.0947533,true,true,"none"
gaussian,radix,omp,uint64,100000,8,2.65487,2.65487e-08,26.5487,37.6667,800000,0.0008,0.301333,true,true,"none"
gaussian,counting,seq,uint64,100000,8,2.79547,2.79546e-08,27.9546,35.7722,800000,0.0008,0.286178,true,true,"none"
gaussian,counting,omp,uint64,100000,8,2.31554,2.31554e-08,23.1554,43.1865,800000,0.0008,0.345492,true,true,"none"
gaussian,bucket,seq,uint64,100000,8,27.6305,2.76305e-07,276.305,3.61919,800000,0.0008,0.0289535,true,true,"none"
gaussian,bucket,omp,uint64,100000,8,23.349,2.3349e-07,233.49,4.28285,800000,0.0008,0.0342628,true,true,"none"
gaussian,pigeonhole,seq,uint64,100000,8,5.13969,5.13969e-08,51.3969,19.4564,800000,0.0008,0.155651,true,true,"none"
gaussian,pigeonhole,omp,uint64,100000,8,5.31877,5.31877e-08,53.1877,18.8013,800000,0.0008,0.150411,true,true,"none"
gaussian,bitonic,seq,uint64,100000,8,92.8374,9.28374e-07,928.374,1.07715,800000,0.0008,0.00861721,true,true,"none"
gaussian,bitonic,omp,uint64,100000,8,17.738,1.7738e-07,177.38,5.63761,800000,0.0008,0.0451009,true,true,"none"
gaussian,radix,seq,uint64,10000,8,1.69758,1.69758e-07,169.758,5.89075,80000,8e-05,0.047126,true,true,"none"
gaussian,radix,omp,uint64,10000,8,0.992405,9.92405e-08,99.2405,10.0765,80000,8e-05,0.0806123,true,true,"none"
gaussian,counting,seq,uint64,10000,8,0.423371,4.23371e-08,42.3371,23.6199,80000,8e-05,0.18896,true,true,"none"
gaussian,counting,omp,uint64,10000,8,0.430565,4.30565e-08,43.0565,23.2253,80000,8e-05,0.185802,true,true,"none"
gaussian,bucket,seq,uint64,10000,8,3.02497,3.02497e-07,302.497,3.30582,80000,8e-05,0.0264466,true,true,"none"
gaussian,bucket,omp,uint64,10000,8,2.95324,2.95324e-07,295.324,3.38612,80000,8e-05,0.0270889,true,true,"none"
gaussian,pigeonhole,seq,uint64,10000,8,2.02331,2.02331e-07,202.331,4.9424,80000,8e-05,0.0395392,true,true,"none"
gaussian,pigeonhole,omp,uint64,10000,8,1.67252,1.67252e-07,167.252,5.97901,80000,8e-05,0.0478321,true,true,"none"
gaussian,bitonic,seq,uint64,10000,8,8.07003,8.07003e-07,807.003,1.23915,80000,8e-05,0.00991322,true,true,"none"
gaussian,bitonic,omp,uint64,10000,8,2.52719,2.52719e-07,252.719,3.95696,80000,8e-05,0.0316557,true,true,"none"
gaussian,radix,seq,uint64,1000,8,0.334011,3.34011e-07,334.011,2.99391,8000,8e-06,0.0239513,true,true,"none"
gaussian,radix,omp,uint64,1000,8,0.878359,8.78359e-07,878.359,1.13849,8000,8e-06,0.00910789,true,true,"none"
gaussian,counting,seq,uint64,1000,8,0.083032,8.3032e-08,83.032,12.0435,8000,8e-06,0.0963484,true,true,"none"
gaussian,counting,omp,uint64,1000,8,0.15125,1.5125e-07,151.25,6.61157,8000,8e-06,0.0528926,true,true,"none"
gaussian,bucket,seq,uint64,1000,8,0.759963,7.59963e-07,759.963,1.31585,8000,8e-06,0.0105268,true,true,"none"
gaussian,bucket,omp,uint64,1000,8,1.04581,1.04581e-06,1045.81,0.956197,8000,8e-06,0.00764957,true,true,"none"
gaussian,pigeonhole,seq,uint64,1000,8,0.596915,5.96915e-07,596.915,1.67528,8000,8e-06,0.0134022,true,true,"none"
gaussian,pigeonhole,omp,uint64,1000,8,0.686813,6.86813e-07,686.813,1.456,8000,8e-06,0.011648,true,true,"none"
gaussian,bitonic,seq,uint64,1000,8,0.875465,8.75465e-07,875.465,1.14225,8000,8e-06,0.009138,true,true,"none"
gaussian,bitonic,omp,uint64,1000,8,0.55983,5.5983e-07,559.83,1.78626,8000,8e-06,0.0142901,true,true,"none"
gaussian,radix,seq,uint64,100,8,0.055507,5.5507e-07,555.07,1.80157,800,8e-07,0.0144126,true,true,"none"
gaussian,radix,omp,uint64,100,8,0.775525,7.75525e-06,7755.25,0.128945,800,8e-07,0.00103156,true,true,"none"
gaussian,counting,seq,uint64,100,8,0.019493,1.9493e-07,194.93,5.13005,800,8e-07,0.0410404,true,true,"none"
gaussian,counting,omp,uint64,100,8,0.070394,7.0394e-07,703.94,1.42058,800,8e-07,0.0113646,true,true,"none"
